Polarity,Sentiment,Tweet
-0.625,Negative,"RT @ThomasWictor: (1) Chris Cillizza @CillizzaCNN concedes defeat.

Operation Katrina has failed.

https://t.co/Fn1iMzISgZ"
0.0,Negative,"RT @SethAbramson: Trump is attacking hurricane victims. 

I think it's about time for us to wrap this presidency up."
0.3,Positive,"RT @LightskinJesuSP: &gt;Rick ""Trump supporters masturbate to anime and don't matter in the election"" wilson

dont make me laugh https://t.co/…"
0.0,Negative,"RT @kurteichenwald: 9 million children lost their health insurance today. Nine million.

Trump went golfing."
0.09479166666666666,Positive,"RT @SteveBannen: Trump is very weak on Puerto Rico, considering that President Hillary would have magically wiped the entire island clean l…"
0.0,Negative,RT @daveweigel: There's a Trump tweet for everything. https://t.co/yKotLrTlgO
0.09999999999999999,Positive,"Re PR: They don't vote for president, they don't pay taxes,  they are mostly brown, and they speak Spanish. Why would Trump give a shit?"
0.05000000000000002,Positive,RT @Clancy_Dew: @mtylr23 @JamesFourM @banksdignity @maggieNYT @nytimes I've on that since general election when the myth of Maggie's report…
0.0,Negative,RT @RVAwonk: Oh wow-&gt; FBI is conducting 3 probes into Russian election interference. **One is looking at Trump business links**  https://t.…
0.12857142857142856,Positive,"Trump saying ""I won't fail"" is honestly me every day of my life, right before failing"
0.0,Negative,There is not bottom to this hole we have been sucked into.  @CNNPolitics https://t.co/ku6r9pINVF
-0.16666666666666666,Negative,RT @quintabrunson: Someone put a black man wearing a jersey kneeling in Puerto Rico tomorrow so Trump can care about it https://t.co/d9qQ6f…
0.18333333333333335,Positive,"@SenSanders LMAO STHU BERNIE! OBAMA GETS UPDATE ON DEADLY  LOUISIANA FLOODS, HEADS BACK TO THE GOLF COURSE… https://t.co/EEu8hPuDQZ"
0.0,Negative,"RT @S_T_O_P_TERROR: President #Trump ""There is an assault on #Christianity, there is an assault on guns and there is an assault on everythi…"
0.2333333333333333,Positive,RT @mitchellvii: The fact Trump has set so many economic records with ZERO help from Congress is nothing short or miraculous.
